"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Aug-2025","EQ","3,029.90","3,036.80","3,000.00","3,036.80","3,001.10","3,003.00","3,013.79","4,592.25","3,000.00","20,53,847","6,18,98,63,144.50","1,54,119"
"31-Jul-2025","EQ","3,041.70","3,059.80","3,015.00","3,053.60","3,033.20","3,036.80","3,034.36","4,592.25","3,015.00","29,68,371","9,00,71,05,954.30","1,99,367"
"30-Jul-2025","EQ","3,060.00","3,069.00","3,047.20","3,056.00","3,052.10","3,053.60","3,058.58","4,592.25","3,041.20","28,80,121","8,80,90,78,906.80","1,27,490"
"29-Jul-2025","EQ","3,060.00","3,074.00","3,041.20","3,079.30","3,057.00","3,056.00","3,056.04","4,592.25","3,041.20","47,85,312","14,62,40,90,930.70","2,47,039"
"28-Jul-2025","EQ","3,110.00","3,118.00","3,069.90","3,135.80","3,085.80","3,079.30","3,092.56","4,592.25","3,056.05","33,74,473","10,43,57,52,450.00","2,73,133"
"25-Jul-2025","EQ","3,140.00","3,156.90","3,125.60","3,148.00","3,140.00","3,135.80","3,140.77","4,592.25","3,056.05","25,68,917","8,06,83,75,805.90","1,05,704"
"24-Jul-2025","EQ","3,165.10","3,173.70","3,140.00","3,179.10","3,144.90","3,148.00","3,155.37","4,592.25","3,056.05","29,34,778","9,26,03,12,011.30","1,02,612"
"23-Jul-2025","EQ","3,159.60","3,182.00","3,157.60","3,159.60","3,175.00","3,179.10","3,169.59","4,592.25","3,056.05","19,22,875","6,09,47,30,938.80","96,628"
"22-Jul-2025","EQ","3,159.60","3,180.10","3,154.60","3,158.20","3,164.70","3,159.60","3,163.54","4,592.25","3,056.05","31,98,036","10,11,71,07,299.10","1,38,279"
"21-Jul-2025","EQ","3,190.00","3,197.60","3,152.00","3,189.90","3,158.90","3,158.20","3,162.44","4,592.25","3,056.05","38,44,346","12,15,75,19,336.90","1,95,683"
"18-Jul-2025","EQ","3,225.00","3,228.80","3,187.00","3,209.20","3,189.60","3,189.90","3,201.13","4,592.25","3,056.05","34,32,645","10,98,83,48,160.40","1,95,464"
"17-Jul-2025","EQ","3,224.10","3,242.00","3,204.10","3,233.10","3,207.70","3,209.20","3,220.48","4,592.25","3,056.05","29,47,640","9,49,28,07,475.50","1,57,207"
"16-Jul-2025","EQ","3,227.00","3,244.90","3,220.60","3,252.30","3,230.90","3,233.10","3,235.91","4,592.25","3,056.05","25,40,733","8,22,15,86,412.60","1,72,998"
"15-Jul-2025","EQ","3,206.00","3,259.40","3,206.00","3,222.70","3,252.00","3,252.30","3,243.32","4,592.25","3,056.05","25,90,889","8,40,30,81,368.10","1,71,257"
"14-Jul-2025","EQ","3,266.00","3,272.00","3,200.00","3,266.00","3,227.50","3,222.70","3,224.72","4,592.25","3,056.05","39,24,009","12,65,38,11,861.80","3,96,894"
"11-Jul-2025","EQ","3,299.90","3,335.00","3,261.10","3,382.00","3,264.50","3,266.00","3,295.45","4,592.25","3,056.05","76,35,550","25,16,25,51,686.40","5,52,284"
"10-Jul-2025","EQ","3,380.00","3,399.00","3,356.00","3,383.80","3,395.00","3,382.00","3,379.02","4,592.25","3,056.05","30,35,012","10,25,53,61,029.90","1,76,792"
"09-Jul-2025","EQ","3,410.00","3,414.00","3,367.00","3,406.20","3,386.00","3,383.80","3,387.16","4,592.25","3,056.05","20,34,938","6,89,26,61,354.30","1,91,376"
"08-Jul-2025","EQ","3,405.00","3,425.00","3,393.40","3,411.70","3,406.00","3,406.20","3,407.01","4,592.25","3,056.05","23,25,242","7,92,21,16,743.70","1,78,045"
"07-Jul-2025","EQ","3,418.30","3,426.10","3,408.40","3,419.80","3,410.60","3,411.70","3,417.70","4,592.25","3,056.05","16,39,174","5,60,22,06,127.80","73,810"
"04-Jul-2025","EQ","3,408.00","3,427.00","3,390.10","3,400.80","3,420.00","3,419.80","3,413.91","4,592.25","3,056.05","11,09,320","3,78,71,17,009.90","87,593"